0,1,2,3,4,5,6,7,8,9,10
,"T11 Risers

","DoM: ¢zz_

","Inspection Date: Q/:z | zz_
",,,,,,,
,,,,"DWG

","Sheet
",,"Top Left
","Bottom Left

","Top Right

",
,"First Tab Placement

",,,"11-1-7719
",,,"~@
",,"Dhy
",
,"Second Tab Placement

",,,,,,,,,
,"ue - Riser set - Check threa
presents

","Go/No-Go

","11-1-7719
",,"B2/B5
",,"GO
",,,
"Visual Inspection +Cariopy Release Functional w/ Harness (GO/NO GO): GC

",,,,,,,,,,
"inspector: <0 Ay

",,,,,,,,,,
"Box #3

","T11R Risers

","DoM:

qlez.
","Inspection Date: {12 [zz
",,,,,,,
,,"Drawing

",,,"Top Left
","Bottom Left

","Top Right
",,,
,"Riser Webbing Fold Over
",,,"11-1-7729
",,,,,,"KVs4
"
,"Spreader Bar Length

",,,"11-1-7729
",,,,,,
,"Glue - Riser Set - 11R - Check for
Thread presents

","Go/no go

","11-1-7729
",,"Several
",,,,,
,"Glue - Spreader bar - Check for
""WW"" thread

","Go/no go

","11-1-7729
",,"Several
","GO
",,,,
,,,,,,,,,,
"Inspector

",,,,,,,,,,
