0,1,2,3,4,5,6,7,8,9,10,11,12
"Box ee

","T11 Risers
","DoM: 3lz<z

","Inspection Date: 2 iz-/2Z

",,,,,,,,,
,,,,,"Sheet! Zone
","Top Left
","Bottom Left
","Top Right
",,,,
,"Overall Length
","27 3/4
","28 1/4
","11-1-7719
",,,"x
",,"so
",,,
,"Riser Leg Offset
",,"1/4
","11-1-7719
",,,,,,,,
,"Glue - Riser set - Check thread
presents

","Go/No-Go
","11-1-7719
",,"B2/B5__
",,,,,,,
"Visual Inspection + Canopy Release Functional w/ Harness (GO/NO GO): cc»

",,,,,,,,,,,,
,,,,,,,,,,,,
"Box #7
","7T11R Risers

","DoM: 4/z2z
","Inspection Date: 4jiz Jzz.
",,,,,,,,,
,,"Drawing

","Sheet
",,"Top Left
","Bottom Left

","Top Right
",,,,,
,"Length of Hook / Pile Tape

",,,"11-1-7729

",,,,,,,,
,"Hook / Pile Tape Offset

",,"1/4
","11-1-7729
",,,,,,,,
,"Riser Webbing Fold Over
",,,"11-1-7729
",,,,"<fz
",,,,
,"Spreader Bar Length
",,,"11-1-7729
",,,,,,,,
,"Glue - Riser Set - 11R - Check for
Thread presents

","Go/no go
","11-1-7729
",,"Several
",,,,,,,
,"Glue - Spreader bar - Check for
""WW"" thread

","Go/no go
","11-1-7729
",,"Several
","GO
",,,,,,
"Visual Inspection (GO/NO GO):
",,,,,,,,,,,,
"Inspector: 7/7

",,"7
",,,,,,,,,,
