0,1,2,3,4,5,6,7,8
,"Main Pack Tray

",,,"Inspection Date: 7//2 /

",,,,
"Package 6
",,,,,,"Left
","Right

",
"Fabric Loop Length

","2 1/8
","2 3/8
","11-1-7068

",,,,,
"Side Flap Bartacked Webbing Length
",,"44/4
","11-1-7130
",,,,,
"Visual Inspection (GO/NO GO): (_74/

",,,,,,,,
"Inspector: [?},.b/acn

",,,,,,,,
,,,,,,,,
"Box #2

","Main Pack Tray

","DoM: 7/zz ~
","Inspection Date: 9/

",,,,,
"Package 6
",,,,,,"Left

","Right

",
"Side Flap Bartacked Webbing Left Spacing
","1 1/8

","1 3/8

",,,,,,
"Visual Inspection (GO/NO GO) : (SC |
",,,,,,,,
"Inspector: /, |
",,,,,,,,
"Visual Inspection Notes: Neal es O04

",,,,,,,,
"Box #3
","Main Pack Tray

","DoM: 7/27 —
","Inspection Date: 7] 5/2:
",,,,,
"Package 6
",,,,,,"Left
",,
"Side Flap Bartacked Webbing Middle Spacing
","118
","1 3/8
","1-1-7130

",,,,,
"Visual Inspection (GO/NO GO) : >,
",,,,,,,,
"Inspector:

",,,,,,,,
"Visual Inspection Notes:

",,,,,,,,
,,,,,,,,
,"Main Pack Tray
",,"Inspection Date: VE />2
",,,,,
,,,"DWG
",,,"Left
",,
"Attachment Strap Angle
",,,"11-1-7721

",,,"1S
",,
"Attachment Strap Length
","3 7/8
","4 1/8
","11-1-7721
",,,"ae
","3%

",
,,,,,,,,
,,,,,,,,
,,,,,,,,
