0,1,2,3,4,5,6,7,8,9
"Box #1
","Reserve Pack Tray

",,"9/ZZ. |

","Inspection Date:

","Gizk
",,,,
,,,"rawing

",,,,,,
,"Closing Loop (1) length
",,"1 5/8
","11-1-7091
",,,,,
,"Clothing Loop Fabric

","7/8
","1 1/8
","11-1-7091

",,,"Ys
",,
,"Bartack 1/8 over 4 places

","Go/No Go
","1-1-9596

",,,"(0
",,,
,"Bartack size (1/8 x 1) 4 places
","Go/No Go
","11-1-9596
",,,"@O
",,,
,"Grommet location
","13/16

","15/16
","11-1-9596
",,,,"View

",
,"Grommet location (wing)
","3 1/2
","3 3/4

","11-1-9609
",,"G5
",,"THR
",
,"Small Grommet location (container)

","9/16
","11/16
","11-1-9609
",,"G7
","Se
Se
","RN
",
,"Distance between Small Grommet
","11/16
","13/16

","11-1-9609
",,"G7
","/ Nhe

",,
,"GO
",,,,,,,,
"Dio
",,,,,,,,,
"Visual Inspection Notes:

",,,,,,,,,
"Box # 2

","Reserve Pack Tray

","Dom:
","ae
","Inspection Date:
","qs!
",,,,
,"Package 7
",,,"Drawing
",,,,,
,"FN 5 inner edge from binding edge
","2 1/2
","2 3/4
","11-1-9609
",,,"Se

","ZYx%

",
,"FN 5 outer edge from binding edge
","1 1/16
","1 3/16
","11-1-9609
",,,"IVs
",,
,"308 Zig-zag
",,,"11-1-9609
",,"F5, C5
","[| %
","Jw
",
,"308 Zig-zag
",,,"11-1-9609

",,"E6, E3
","[4

","[Fa
",
,"GO
",,,,,,,,
"Inspector: Vat

",,,,,,,,,
"Visual Inspection Notes:

",,,,,,,,,
