0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,"___ TLR Extractor
",,"inspectio

g

L~]

Paid
",,,,,,,,,,,,,,,,,
,,"21/4
",,,,,,,,,,,,,,,,,,
"39 1/2
",,,"12-9771
",,,,"31%
",,"49°74 ha VY |39 My
",,,,"WA
","34%
","“SSS
",,,,,
"La Verify Symmetry items 3 {(Go/No Go]
",,,,,,,,,,,,,,,,,,,,
,"ta —

Line ne finger trap stitch stitch (encires 42) |
",,,,,,,,,"a
",,,,,,,"~
",,,
"Center Line Thru Canopy (View DB
and section E-E
","Go/No Go

",,,"11-1-9771
«ee
",,"C2, G7
it
",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Box #11
","TL1R Extractor
",,"Ge
","Inspection Date:
i
",,"Lot Number
",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,"14-1-9774
",,,,,,,"(A

L
",,"4

=
",,,,,,,
"| Thru Canopy (View D
and section E-E}
",,,,,"21-1-9772
",,,,,,,,,,,,,,,
"Center Line Thru Canopy (View D
and section E-E}
","Go/No Go
",,,"11-1-9771
",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Visual I

ei-wmde

pection (GO/NO GO):

iC.

WO Alas

VT ad

7.

Ls

",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"T11iR Extractor
",,,,,,,,,,,,,,,,,,,,
,,"inspection Date:
","Cyfip
",,,,,,,,,,,,,,,,,
,,,,"35 lb
","11-1-9776
",,,,,,,,,,,,,,,
,"Extractor Bridle Assembly Loop
{Measure 10)
","748
",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"—

Visual Inspection extractor assembly (GO/NO Oo
GO):

",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"T11R Extractor
",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,"it rv es
12-1-9771
",,,,,,,,,,,,,,,,
"Canopy Diameter
",,,,"11-12-9772.
",,,,,,,,,,,,,,,,
"Visual Inspection (GO/NO GO}: /

",,,,,,,,,,,,,,,,,,,,
"inspector: kK

",,,,,,,,,,,,,,,,,,,,
