0,1,2,3,4,5,6,7,8,9,10
,"Overali Length
","27 3/4
","28 1/4
","11-1-7719
",,,,,"25 4

",
,"Riser Leg Offset
",,"1/4
","11-1-7719

",,,,,,
,"ue - Riser Set - CNECK
thread presents
","GO/NO GO

","11-1-7719
",,"B2/B5
","Go

",,,"Go

",
"Visual Inspection Notes:
",,,,,,,,,,
,,,,,,,,,,
"Overall Length

",,,,,,,,,,
,"Webbing Leg Offset
",,"1/4
","11-1-7729
",,,,,,
,"Riser Set Offset
",,"1/2
","11-1-7729
",,,,,,
"= 4
—I
","Glue - Riser Set - 11R - Check

for Thread presents
","GO/NO GO

","11-1-7729
",,"Several
",,,,,
,"Glue - Spreader bar - Check
for ""WW"" thread
","© GO/NOGO

","11-14-7729
",,"Several
",,,,,
,,,,,,,,,,
"Visual Inspection Notes; tits i WB O00 EE sw aR mmnQVu—7_eV7O_30VaV3V0wvVX37 S

",,,,,,,,,,
