0,1,2,3,4,5,6,7,8,9,10,11
,"Overall Length
","27 3/4
",,"11-1-7719
",,,,"2
",,,
,"Riser Leg Offset
",,"1/4
","11-1-7719
",,,,,"Ge
Gj
",,
,"Glue - Riser set - Check
thread presents
","GO/NO GO
","11-1-7719
",,"B2/B5
",,"Go
",,"Go
",,
"Visual Inspection Notes:

",,,,,,,,,,,
"Box #9
",,,,,,,,,,,
,"Overall Length
","47 1/2
","48 1/2
","11-41-7729
",,,,,,,
,"Webbing Leg Offset
",,"1/4
","11-1-7729
",,,,,,,
,"Riser Set Offset
",,"1/2
","11-1-7729
",,,,,,,
,"Glue - Riser Set - 11R - Check
for Thread presents
","GO/NO GO
","11-1-7729
",,"Several
",,,,,,
,"Glue - Spreader bar - Check
for ""WW"" thread
","GO/NO GO
","11-1-7729
",,"Several
",,,,,,
"inspector: KK GAA

",,,,,,,,,,,
"Visual Inspection Notes:

",,,,,,,,,,,
