0,1,2,3,4,5,6,7,8,9
,"x #1

neth
",,"11 Ris

7 3/4

GO/!

LIRR

| 1/2

GO/N

GO/h

","L-4-77
",,,,,"ttom Le

"
"r Leg

- Ris

","Offset

ar set

","- Check

","1-77

1-77

","19

",,"G4

B2/B5

",,,
"ectio

ectio
",,"anopy f
Ghut

eS:

","5 {GO

","(NO GO):

",,,,,
,,,"check

eck

",,,,"7a
","spec

",
"all Le
",,,,,,"one Te
FS

","op Le

",,
,"eg Of

","fset

","“1-77,

",,,,,,
"Set C

- Rise

","iffset

r Set

","- 11R -¢

",,,,"everal

",,,
,"prese
‘ader
threa:

",,,"9
",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
