0,1,2,3,4,5,6,7,8
,"x #1

neth
",,,"11 Ris

r 3/4

GO/t

LIRR

1/2

GO/N

GO/h

","1-77

",,,"ate:
ttom L

ate:
ttom Le

"
"r Leg

2 - Ris

","Offse

er set
esent

","- Chec

",,"-1-77

-1-77

",,,,
"ectic

»ectic
",,,,,,,,
,,,"Check

eck

",,,,"4123 |tr

","spec
"
"all Le
",,,,,,"a
| z
","»p Left

",
,"eg O
","fset
","1-77:

",,,,,
"Set C

- Rise

","ffset

r Set

","- 11R -

",,,,"everal

","Go

",
,"pres
sader
threa

","ants
bar-C

{NO Gt

Aa

",,,,"everal| —

","a
",
,,,,,,,,
,,,,,,,,
,,,,,,,,
